"date","nest","spp","status","adults","stage","chicks","confidence","notes"
2016-04-21,"104","BCNH","A",NA,2,2,"","east side, northing short"
2016-04-28,"104","BCNH","A",NA,2,2,"",NA
2016-05-05,"104","BCNH","I",NA,NA,0,"",NA
2016-05-12,"104","BCNH","I",NA,NA,0,"","empty"
2016-05-19,"104","BCNH","I",NA,NA,0,"","empty"
2016-05-26,"104","BCNH","I",NA,NA,0,"",NA
2016-06-02,"104","BCNH","I",NA,NA,0,"","empty"
2016-04-21,"115","BCNH","A",NA,1,0,"",NA
2016-04-28,"115","BCNH","A",NA,1,0,"","facing city in crevice"
2016-05-05,"115","BCNH","A",NA,1,0,"",NA
2016-05-12,"115","BCNH","A",NA,2,3,"",NA
2016-05-19,"115","BCNH","A",NA,4,4,"",NA
2016-05-26,"115","BCNH","A",NA,5,2,"",NA
2016-06-02,"115","BCNH","A",NA,5,2,"",NA
2016-04-28,"121","SNEG","A",NA,1,0,"","east higher than 582, tag below east higher than 582, tag below"
2016-05-12,"121","SNEG","A",NA,1,NA,"",NA
2016-05-19,"121","SNEG","A",NA,2,3,"","pipped egg"
2016-04-21,"124","BCNH","A",NA,2,3,"","back left 3 ft of tag (hole in wall)"
2016-04-28,"124","BCNH","A",NA,4,3,"",NA
2016-05-05,"124","BCNH","A",NA,5,2,"",NA
2016-05-12,"124","BCNH","A",NA,5,1,"",NA
2016-06-02,"124","BCNH","I",NA,NA,0,"","nest destroyed"
2016-04-28,"125","SNEG","A",NA,1,0,"","between 532 and 522 between 532 and 522"
2016-05-05,"125","SNEG","A",NA,1,0,"",NA
2016-05-12,"125","SNEG","A",NA,1,NA,"",NA
2016-05-19,"125","SNEG","A",NA,1,0,"",NA
2016-04-28,"162","SNEG","A",NA,1,0,"","east side entrance by 533 east side entrance by 533"
2016-05-05,"162","SNEG","A",NA,1,0,"",NA
2016-05-12,"162","SNEG","A",NA,1,NA,"",NA
2016-05-19,"162","SNEG","A",NA,1,0,"",NA
2016-04-28,"170","SNEG","A",NA,1,0,"","east side, 3 ft left of 581, empty nest in front of it east side, 3 ft left of 581, empty nest in front of it"
